,p0_growth,log_inc_t_1,gini_t_1,life_exp,pop_growth_pwt,priv_credit,inflation,budget,trade_openness,fin_openness,homic,conflict,civ_lib,agriculture,prim_school,sec_school,infrastructure
528,0.00255,6.83816,0.458024,75.5864,0.016115,0.20609,0.053644000000000004,-0.01008667,-0.09900199999999999,0.69699,0.098,0.0,5.0,0.01476937,1.0174299999999998,0.8199420000000001,1.05026
529,0.0,6.84028,0.466341,75.8789,0.015851,0.22365500000000002,0.039318,-0.02873667,-0.074306,0.69699,0.169667,0.0,5.66667,0.02507909,1.02722,0.8300489999999999,1.10048
530,-0.0056,6.80422,0.463442,76.1889,0.014555000000000002,0.248642,0.041767,-0.04097667,0.013569999999999999,0.69699,0.218667,0.0,6.0,0.00876311,1.04031,0.839334,1.12145
531,0.0018,6.8465,0.459031,76.5362,0.013578,0.28431300000000004,0.031713,-0.04654,0.046162,0.69699,0.185333,0.0,6.0,0.00287547,1.04122,0.8755959999999999,1.11975
532,0.0074375,5.64365,0.421651,68.4706,-0.002358,0.202672,0.032274000000000004,-0.02546911,0.123272,1.0,0.048,0.0,2.0,0.02067188,1.06921,0.832153,0.648989
533,0.033525,4.68854,0.32417199999999996,67.3565,-0.25,0.067196,0.054927,-0.07,0.213727,0.225411,0.09104,0.2,9.4,0.0,0.9050739999999999,0.919333,-0.727855
534,0.00532,4.68854,0.3475,66.8579,-0.004131,0.06930900000000001,0.054927,-0.07,0.27932399999999996,0.225411,0.09237999999999999,0.16666667,7.66667,-0.01782487,0.935902,0.82911,-0.54492
535,-0.0318,4.55005,0.389129,66.8124,-0.005487,0.122653,0.2416,-0.07,0.344961,0.16480899999999998,0.097095,0.0,6.0,0.04063269,1.00549,0.8225100000000001,-0.16543
536,-0.0836,4.57295,0.38867399999999996,66.9781,-0.003708,0.137231,0.11411400000000001,-0.07,0.360699,0.16480899999999998,0.1005,0.0,6.5,-0.11167903,1.00369,0.815298,-0.079867
537,-0.1101,4.63439,0.389364,67.1513,-0.002117,0.159661,0.093753,-0.07,0.382445,0.16480899999999998,0.09699999999999999,0.0,7.0,-0.0751488,0.9942,0.824564,0.009229000000000001
538,-0.0894,4.7118199999999995,0.387401,67.3119,-0.001188,0.187452,0.13859000000000002,-0.07,0.448467,0.16480899999999998,0.086,0.0,7.0,-0.11253108,0.994827,0.8425860000000001,0.0921
539,0.0105,4.7785400000000005,0.384236,67.4559,-0.001275,0.20773699999999998,0.07684099999999999,-0.07,0.45593,0.16480899999999998,0.071,0.0,7.0,-0.04989699,0.996547,0.859785,0.178792
540,0.0529,4.85241,0.381879,67.6013,-0.002079,0.224223,0.089334,-0.07,0.463537,0.16480899999999998,0.0685,0.0,7.0,-0.04706051,0.9885709999999999,0.874734,0.279861
541,-0.013000000000000001,4.97682,0.38005700000000003,68.0529,-0.003906,0.321703,0.147615,-0.07,0.48587600000000003,0.16480899999999998,0.057999999999999996,0.0,7.5,-0.36949932,0.9553520000000001,0.88938,0.519363
542,0.0018,5.0087,0.376637,68.42,-0.004188,0.366558,0.088417,-0.07,0.47613500000000003,0.16480899999999998,0.055,0.0,7.5,-0.11471318,0.9422379999999999,0.883943,0.6256510000000001
543,-0.0026,5.08571,0.370218,68.8867,-0.0037359999999999997,0.362294,0.02147,-0.07,0.34525100000000003,0.16480899999999998,0.0585,0.0,6.5,-0.05792997,0.9380379999999999,0.884157,0.6912699999999999
544,-0.005,5.0251,0.366766,69.4263,-0.0027660000000000002,0.357022,0.104999,-0.07,0.27479499999999996,0.16480899999999998,0.0625,0.0,6.0,0.35749001,0.935592,0.8828879999999999,0.729694
545,-0.0025,5.0947,0.36178299999999997,69.9902,-0.001633,0.35649200000000003,0.070101,-0.07,0.360591,0.16480899999999998,0.07,0.0,6.0,0.02143905,0.9357190000000001,0.878502,0.762666
546,0.0006,5.16106,0.355579,70.5218,-0.00075,0.380948,0.07598300000000001,-0.07,0.39869699999999997,0.16480899999999998,0.0655,0.0,6.0,-0.09450299,0.937005,0.879577,0.7801939999999999
547,-0.0026,5.15416,0.348555,70.9723,-0.00025499999999999996,0.41395600000000005,0.040494,-0.07,0.371772,0.16480899999999998,0.0485,0.0,6.0,0.09651975,0.937832,0.88266,0.782287
548,-0.0008,5.244269999999999,0.342271,71.314,-0.000336,0.397417,0.061804,-0.07,0.342034,0.16480899999999998,0.0365,0.0,6.0,0.04488994,0.934162,0.878285,0.782287
549,0.04353333,4.9830000000000005,0.333181,61.6186,0.008348000000000001,0.07772000000000001,0.09309400000000001,-0.09,0.18945,0.56394475,0.139,0.0,5.0,0.00701643,0.920637,0.622605,0.260121
550,-0.040925,5.05145,0.33164899999999997,62.9375,0.00933,0.094097,0.09443700000000001,-0.09,0.41558599999999996,0.69699,0.139,0.0,4.6,-0.12250582,0.9878049999999999,0.671571,0.487304
551,-0.01535,5.13172,0.333079,65.182,0.012698000000000001,0.28773899999999997,0.156339,-0.09,0.462208,0.70564743,0.125833,0.0,4.0,-0.00067347,1.02611,0.866434,0.832892
552,-0.0029,5.5625800000000005,0.335868,67.0802,0.015780000000000002,0.381191,0.174343,-0.09,0.37699299999999997,0.70832133,0.08366699999999999,0.0,4.0,-0.24683467,1.14567,0.930465,1.07533
553,-0.0019,5.57986,0.332807,67.8632,0.017109,0.38807600000000003,0.140796,-0.09,0.415876,0.7442880000000001,0.092,0.0,3.5,-0.10309326,1.23881,0.915926,1.12522
554,-0.0019,5.7215,0.333927,68.368,0.017856999999999998,0.435883,0.12031300000000002,-0.09,0.4426,0.80489,0.0835,0.0,3.0,0.0716476,1.1949100000000001,0.915926,1.1543700000000001
555,-0.0008,5.81877,0.333532,69.0464,0.018076,0.549906,0.050254,-0.09,0.336753,0.835191,0.073,0.0,3.0,0.07500355,1.09175,0.915926,1.16321
556,-0.0009,6.3283,0.310336,73.6849,0.001741,0.271275,0.086726,-0.02139935,0.408549,0.5965703,0.019,0.0,6.0,-0.02826187,1.1482299999999999,0.9500629999999999,0.8750760000000001
557,0.0022,6.40956,0.310808,73.913,0.00183,0.582815,0.119717,-0.02071022,0.516098,0.61875616,0.019,0.0,6.0,-0.10982664,1.17605,0.9611850000000001,0.949717
558,-0.0017,6.47397,0.311201,74.193,0.0018559999999999998,0.836398,0.073825,-0.02558587,0.535209,0.62751338,0.028999999999999998,0.0,5.5,0.02158488,1.18845,0.9672229999999999,1.01537
559,-0.0019,6.54172,0.310799,74.5166,0.001823,0.817783,0.023729,-0.03103674,0.3996,0.62791668,0.0365,0.0,5.0,0.07001594,1.15995,0.9773950000000001,1.06053
560,0.0,6.47982,0.310377,74.8665,0.001743,0.7150449999999999,0.022877,-0.03032783,0.24192800000000003,0.61770193,0.028999999999999998,0.0,5.0,-0.0817248,1.09645,0.997193,1.09245
561,0.0021,6.504630000000001,0.310128,75.2183,0.001616,0.6088279999999999,0.011956999999999999,-0.02777696,0.287107,0.61293727,0.028999999999999998,0.0,5.0,0.046368900000000005,1.01092,0.965915,1.12522
562,0.0105,6.535080000000001,0.310654,75.5482,0.001456,0.551771,0.0017670000000000001,-0.02678435,0.343544,0.60817261,0.0305,0.0,5.0,-0.08096509,0.953435,0.9192309999999999,1.1543700000000001
563,-0.0022,6.506869999999999,0.312187,75.8376,0.001257,0.5405439999999999,0.020458,-0.02817565,0.325583,0.59768698,0.0215,0.0,5.0,0.09703093,0.952785,0.9138809999999999,1.16321
564,-0.0104,6.54029,0.313215,76.0754,0.001031,0.522174,0.010311,-0.03051087,0.26981,0.58429098,0.024,0.0,5.5,0.02158154,0.947926,0.9138809999999999,1.16321
565,-0.01366667,4.9882,0.393389,63.4083,0.020756,0.175143,0.048908999999999994,-0.04571429,-0.365181,0.14126486,0.018984,0.71428571,9.14286,0.05051842,0.712788,0.351533,-0.629741
566,0.0058125,5.199269999999999,0.394232,66.7579,0.015844,0.302788,0.021876,-0.02666667,-0.398992,0.24747433,0.018984,0.0,9.77778,-0.03108893,0.735174,0.37054000000000004,-0.283319
567,-0.00625,5.27758,0.39645,68.5029,0.010827,0.455704,-0.000475,-0.04567667,-0.26277,0.16480899999999998,0.017995,0.0,9.66667,-0.0257827,0.9178290000000001,0.384892,0.07915900000000001
568,-0.00525,5.3429199999999994,0.396599,70.0546,0.010029999999999999,0.44495200000000007,0.016203,-0.03857571,-0.133529,0.16480899999999998,0.016571000000000002,0.0,9.28571,-0.03189546,1.03433,0.476538,0.43216899999999997
569,-0.00714286,3.04386,0.426047,48.3462,0.030622000000000003,0.110873,0.09049299999999999,-0.03909091,-0.259981,0.16480899999999998,0.053429,0.0,7.0,-0.04194401,0.7280310000000001,0.070875,-1.37551
570,-0.01936667,3.4243699999999997,0.43023599999999995,51.1774,0.031105,0.125888,0.060159000000000004,-0.03909091,-0.007735,0.16480899999999998,0.045143,0.0,6.714289999999999,0.0236102,0.984187,0.153528,-0.724318
571,-0.02141,5.8942,0.621685,56.7893,0.024717,0.417041,0.076887,-0.03,0.20880300000000002,0.14982636,0.198511,0.0,4.90909,-0.01456616,1.17411,0.5920270000000001,-0.2036
572,-0.01476667,6.097230000000001,0.6112850000000001,58.7303,0.015887000000000002,0.48006899999999997,0.069194,-0.03,0.31201999999999996,0.16480899999999998,0.1665,0.0,4.0,-0.00821118,1.08754,0.643093,0.5326029999999999
573,-0.0117,3.46674,0.40575100000000003,54.6535,0.028219,0.145378,0.104344,-0.0625,-0.743256,0.18547533,0.02534,0.08333333,6.91667,-0.01998855,1.04364,0.348004,-2.4270099999999997
574,-0.02254286,3.72497,0.38021900000000003,61.8941,0.019348,0.26715,0.058966,-0.04,-0.453222,0.16480899999999998,0.029532999999999997,1.0,7.75,-0.01434726,1.1724700000000001,0.41469399999999995,-1.7703
575,-0.04447143,3.8638,0.384008,66.2326,0.011529000000000001,0.397275,0.083979,-0.04,-0.6306390000000001,0.16480899999999998,0.032,0.5,8.875,-0.00389861,1.26122,0.49254,-0.951995
576,-0.01278,4.66333,0.498961,67.5374,0.020018,0.185561,0.258175,-0.03,-0.38144,0.6154995,0.140789,0.0,6.66667,0.00613934,0.972046,0.459229,-0.457841
577,0.0064,4.79507,0.487573,69.4261,0.015819999999999997,0.204565,0.080118,-0.02,-0.252413,0.9545485,0.11060299999999999,0.0,6.0,-0.04940851,1.03894,0.520791,-0.188834
578,-0.004975,4.88607,0.47507299999999997,71.0039,0.013654,0.177575,0.066163,-0.02,-0.19198900000000002,1.0,0.1182,0.0,6.0,-0.00553707,1.16815,0.622476,0.086191
579,-0.011925,4.95899,0.45128,72.5592,0.01335,0.282798,0.095044,-0.02,0.032017000000000004,1.0,0.1342,0.0,7.0,-0.01789049,1.23515,0.717943,0.506818
580,-0.00922,4.99747,0.429917,74.0459,0.012258,0.294288,0.068111,-0.02,0.265046,1.0,0.13025,0.0,7.83333,0.0203233,1.23322,0.739931,0.795148
581,0.0319,3.5173900000000002,0.386356,46.1007,0.035108999999999994,0.092788,0.28300000000000003,-0.04,-0.7441939999999999,0.41280500000000003,0.049,0.5,8.0,0.0,0.283587,0.064182,-2.82003
582,-0.00586364,3.52227,0.38792600000000005,50.2672,0.044718,0.048576999999999995,0.033336000000000005,-0.04,-0.635554,0.23139250000000003,0.049,0.25,8.66667,0.0,0.355229,0.07245599999999999,-2.65001
583,-0.01455,3.48539,0.385782,54.6822,0.038642,0.057473,0.024062,-0.04,-0.5461630000000001,0.16480899999999998,0.049,0.33333333,6.66667,-0.02281295,0.501624,0.107044,-2.0181
584,-0.0542,3.4984800000000003,0.372745,57.3082,0.041625999999999996,0.109597,0.049485,-0.04,-0.2726,0.16480899999999998,0.049,0.4,7.8,-0.01715735,0.596567,0.123779,-1.6429
585,-0.01546667,3.53447,0.352889,60.3909,0.042628,0.12881700000000001,0.022487,-0.04,-0.249716,0.16480899999999998,0.047,0.0,7.0,0.00880114,0.693707,0.163866,-1.52449
586,0.01684286,4.917269999999999,0.41396400000000005,46.193999999999996,0.028418000000000002,0.129527,0.281945,-0.0775,-0.380525,0.11359925,0.10099999999999999,0.0,10.5,-0.05188703,0.897442,0.26040100000000005,-1.28836
